date,year,time,site,block,site_type,wetland_id,temp,water,wind,species,method,25m,50m,total,breeding codes
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,BGGN,a,2,,2,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,COYE,a,2,1,3,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,EATO,a,,3,3,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,YBCH,a,,1,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,COYE,a,1,2,3,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,EATO,a,,1,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,BLJA,v,,4,4,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,EWPE,a,1,,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,MODO,v,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,SUTA,v,3,,3,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,BGGN,a,2,,2,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,EATO,a,2,,2,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,INBU,a,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,TUTI,a,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,YBCH,a,1,,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,PIWA,a,,2,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,COYE,a,,2,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,NOCA,a,1,,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,CARW,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,EAWP,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,BGGN,a,2,,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,RBWO,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,CACH,a,2,,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BGGN,a,1,,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,COYE,a,,1,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BASP,a,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,PIWA,a,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,EAWP,a,,1,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,RHWO,v,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BHCO,a,1,,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,BGGN,a,1,,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,NOMO,a,,1,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,TUTI,a,,1,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,NOCA,a,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,NOMO,a,,1,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,OROR,v,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,COYE,a,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,PIWA,v,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,EAKI,v,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,COYE,a,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,BASP,a,,1,1,
