date,time_start,time_end,property,type,block,wetland_id,bird_sr,shan_sr_1,shan_sr_2,arc_area,wet_area,arc_perim,wet_perimeter,agriculture,ditched,rain_24,inch_24,wetland_type,hydrology,last_dry,canopy_cover,canopy_dom,midstory_cover,midstory_dom,debris_cover,debris_dom,groundcover,herb_layer,dom_herb_group,water_cover,current_water_max,high_water_mark,burn_scars,duff,duff_depth,hydro_dist,wetland_disturbance,natural_community,canopy_dom_upland,canopy_cover_upland,midstory_cover_upland,midstory_dom_upland,herb_cover_upland,herb_dom_upland,stumps,burn_scars_upland,duff,duff_depth_upland,time_last_fire
5/2/2022,11:40,,halidon,wetland,4,HH01,,,1.735126,166.0527302,83.87,97.37491254,36.06,,,,,Depression Marsh,Ephem,May 2022,0-25,none,25-50,Wax Myrtle,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,Mesic Flatwood,Longleaf,0-25,0-25,Sweetgum,75-100,"Little Blue Stem, Solidago",T,T,,,
9/10/2021,10:41,10:55,halidon,wetland,4,HH02,9,2.041345,2.293413,1255.868897,1377.66,297.2718227,152.83,T,T,T,4,Dome Swamp,Ephem,Spring 2021,75-100,Black Gum,0-25,Sweetgum,0-25,,75-100,Whole basin,"Grasses, Sedges",0-25,8,24,F,F,,Ditch,None,Mesic Flatwood,Hardwood mix,0-25,0-25,Loblolly and Sweetgum,75-100,"Switchcane, chasmanthiom",T,T,F,,
9/10/2021,11:12,11:22,halidon,wetland,4,HH04,8,1.880985,2.240322,2667.586834,1090.02,325.9674544,129.92,T,T,T,4,Dome Swamp,Ephem,Spring 2021,50-75,Black Gum,0-25,Wax Myrtle,0-25,,0-25,Edges,Sedges,75-100,18,24,F,,,Ditch,None,Mesic Flatwood,Longleaf,0-25,0,None,75-100,Little Blue Stem,T,T,F,,2020
9/15/2022,,,halidon,wetland,4,HH05,,,2.246214,224.7532979,542.09,81.2688498,132.5,T,T,F,,Depression Marsh,Ephem,June 2022,25-50,Longleaf,0-25,Wax Myrtle,0-25,,75-100,Whole Basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/10/2021,11:30,11:50,halidon,wetland,4,HH07,12,2.399204,2.053095,1597.764166,1193.4,254.9739897,153.04,T,T,T,4,Dome Swamp,Ephem,Spring 2021,75-100,"Black Gum, Loblolly, Laurel Oak",0-25,None,25-50,,25-50,Patchy,Sedges,75-100,8,24,T,T,1,,Bedding,Mesic Flatwood,Longleaf,50-75,0,None,75-100,"Clethia, Ilex glatera",F,T,F,,
9/10/2021,10:42,11:00,halidon,wetland,1,HH13,10,2.205155,2.295812,1835.041441,2730,410.7799395,232,T,T,T,4,Dome Swamp,Ephem,Summer 2021,75-100,Black Gum,0-25,Sweetgum,0-25,,50-75,Most of basin,Sedges,75-100,24,24,T,T,0.5,Ditch,,Mesic Flatwood,Slash,25-50,25-50,Sweetgum,75-100,Mix,T,T,F,,
9/10/2021,12:26,12:42,halidon,wetland,2,HH14,12,2.400563,2.385429,1327.256949,399.36,252.0620294,82.36,T,T,T,4,Dome Swamp,Ephem,June 2021,50-75,Black Gum,0-25,Persimmon,0-25,,25-50,Patchy,Sedges,75-100,8,24,F,F,,Ditch,,Mesic Flatwood,Loblolly,25-50,0-25,None,75-100,Mix,T,T,F,,
9/10/2021,1:00,1:20,halidon,wetland,2,HH17,8,1.634164,1.970181,939.8540008,683.54,198.379528,104.87,T,T,T,4,Dome Swamp,Ephem,June 2021,75-100,Black Gum,0-25,None,0-25,,75-100,Whole basin,Sedges,,,,T,F,,Ditch,,Mesic Flatwood,Loblolly,50-75,0-25,None,75-100,Mix,T,T,F,,
9/10/2021,2:05,,halidon,wetland,2,HH22,8,1.945317,2.472484,731.3216521,698.89,235.3891977,98.96,T,T,T,4,Dome Swamp,Ephem,Summer 2021,75-100,Black Gum,25-50,"Sweetgum, Black Gum",0-25,,50-75,Most of basin,Sedges,50-75,,,F,F,,Ditch,,Mesic Flatwood,Loblolly,,25-50,Sweetgum,75-100,Mix,T,,,,
9/15/2022,,,halidon,wetland,7,HH30,,,1.898927,543.66325,522,98.12812994,86.3,,,,,Depression Marsh,Ephem,June 2022,0-25,Loblolly,0-25,None,0-25,,75-100,Whole basin,Grasses,75-100,,,,,,,,,,,,,,,,,,,
