wetland_id,site,site_type,block,spp.number,spp,dist,dbh
HH34,halidon,wetland,1,1,tupelo,2.05,22.8
HH34,halidon,wetland,1,2,tupelo,3,28.2
HH34,halidon,wetland,1,3,slash/loblolly,3.65,46.3
HH34,halidon,wetland,1,4,tupelo,3.05,16.5
UP01,halidon,upland,1,1,slash/loblolly,4.7,45
UP01,halidon,upland,1,2,slash/loblolly,12.5,38.7
UP01,halidon,upland,1,3,slash/loblolly,9.4,46
UP01,halidon,upland,1,4,slash/loblolly,8.35,51.4
HH13,halidon,wetland,1,1,sweet gum,2.65,21
HH13,halidon,wetland,1,2,water oak,3.95,32.8
HH13,halidon,wetland,1,3,red maple,2.85,10.2
HH13,halidon,wetland,1,4,tupelo,3.75,27.2
HH34r,halidon,wetland,1,1,slash/loblolly,5.7,50.8
HH34r,halidon,wetland,1,2,slash/loblolly,7.5,50.5
HH34r,halidon,wetland,1,3,slash/loblolly,8.85,51.4
HH34r,halidon,wetland,1,4,sweet gum,9.15,31.5
UP02,halidon,upland,2,1,slash/loblolly,2.4,46.5
UP02,halidon,upland,2,2,slash/loblolly,9.4,42.5
UP02,halidon,upland,2,3,slash/loblolly,9.7,37.5
UP02,halidon,upland,2,4,slash/loblolly,11,41.5
HH14,halidon,wetland,2,1,tupelo,1.2,24
HH14,halidon,wetland,2,2,tupelo,1.35,21.8
HH14,halidon,wetland,2,3,tupelo,5.5,24
HH14,halidon,wetland,2,4,tupelo,6.55,29.5
HH01,halidon,wetland,4,1,longleaf,15,31.8
HH01,halidon,wetland,4,2,longleaf,23.1,23.5
HH01,halidon,wetland,4,3,longleaf,23.8,17
HH01,halidon,wetland,4,4,longleaf,36,31.2
HH22,halidon,wetland,2,1,sweet gum,5.5,11.5
HH22,halidon,wetland,2,2,tupelo,4.1,29.7
HH22,halidon,wetland,2,3,tupelo,4.1,16
HH22,halidon,wetland,2,4,sweet gum,1.2,10.8
HH17,halidon,wetland,2,1,tupelo,1.25,23.5
HH17,halidon,wetland,2,2,tupelo,1.7,23
HH17,halidon,wetland,2,3,tupelo,2.85,15.2
HH17,halidon,wetland,2,4,tupelo,3.4,18
HH07,halidon,wetland,4,1,tupelo,0.9,15.5
HH07,halidon,wetland,4,2,loblolly,3,48.3
HH07,halidon,wetland,4,3,tupelo,2.25,12.5
HH07,halidon,wetland,4,4,tupelo,3.1,11
