date,year,time,site,block,site_type,wetland_id,temp,water,species,method,25m,50m,total
6/11/2021,2021,7:32,stono,6,wetland,SP09,79,36,CARW,a,,1,1
6/11/2021,2021,7:32,stono,6,wetland,SP09,79,36,RBWO,a,1,,1
6/11/2021,2021,7:32,stono,6,wetland,SP09,79,36,WEVI,a,1,,1
6/11/2021,2021,7:32,stono,6,wetland,SP09,79,36,NOCA,a,,1,1
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,RBWO,a,,1,1
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,WEVI,a,1,,1
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,GRHE,v,1,,1
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,BGGN,a,2,,2
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,CACH,a,,1,1
6/12/2021,2021,6:44,stono,6,wetland,SP09,73,36,GCFL,a,,1,1
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,LBHE,v,1,,1
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,TUTI,a,1,1,2
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,GRHE,v,,1,1
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,WEVI,a,,1,1
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,BHCO,v,,1,1
6/9/2021,2021,7:08,stono,6,wetland,SP09,75,36,NOCA,a,,1,1
6/11/2021,2021,8:00,stono,6,wetland,SP05,79,0,NOPA,a,1,,1
6/11/2021,2021,8:00,stono,6,wetland,SP05,79,0,CACH,a,2,,2
6/11/2021,2021,8:00,stono,6,wetland,SP05,79,0,REVI,a,,1,1
6/11/2021,2021,8:00,stono,6,wetland,SP05,79,0,WEVI,a,,2,2
6/11/2021,2021,8:00,stono,6,wetland,SP05,79,0,BGGN,a,1,,1
6/12/2021,2021,7:08,stono,6,wetland,SP05,75,0,TUTI,a,2,,2
6/12/2021,2021,7:08,stono,6,wetland,SP05,75,0,WEVI,a,1,,1
6/12/2021,2021,7:08,stono,6,wetland,SP05,75,0,NOPA,a,1,,1
6/12/2021,2021,7:08,stono,6,wetland,SP05,75,0,CACH,a,,1,1
6/12/2021,2021,7:08,stono,6,wetland,SP05,75,0,CARW,v,,2,2
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,CACH,a,1,2,3
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,CARW,a,1,1,2
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,TUTI,a,2,,2
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,WEVI,a,,1,1
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,NOPA,v,1,,1
6/9/2021,2021,6:46,stono,6,wetland,SP05,75,0,REVI,a,1,,1
6/9/2021,2021,7:29,stono,6,wetland,SP01,77,0,YBCH,a,1,,1
6/9/2021,2021,7:29,stono,6,wetland,SP01,77,0,BHCO,a,1,,1
6/9/2021,2021,7:29,stono,6,wetland,SP01,77,0,NOCA,a,1,,1
6/9/2021,2021,7:29,stono,6,wetland,SP01,77,0,WEVI,a,,1,1
6/11/2021,2021,7:17,stono,6,wetland,SP01,77,0,NOCA,v,1,,1
6/11/2021,2021,7:17,stono,6,wetland,SP01,77,0,TUTI,v,5,,5
6/11/2021,2021,7:17,stono,6,wetland,SP01,77,0,RBWO,a,1,1,2
6/11/2021,2021,7:17,stono,6,wetland,SP01,77,0,WEVI,a,1,,1
6/11/2021,2021,7:17,stono,6,wetland,SP01,77,0,BGGN,v,2,,2
5/10/2021,2021,8:19,stono,6,wetland,SP01,73,2.7,LBHE,v,1,,1
5/10/2021,2021,8:19,stono,6,wetland,SP01,73,2.7,NOMO,a,1,,1
5/10/2021,2021,8:19,stono,6,wetland,SP01,73,2.7,BLJA,a,,1,1
5/10/2021,2021,8:19,stono,6,wetland,SP01,73,2.7,TUTI,a,1,,1
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,RBWO,v,1,,1
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,CARW,a,,1,1
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,CACH,a,2,1,3
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,WEVI,a,,2,2
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,BGGN,v,2,,2
6/9/2021,2021,8:01,stono,6,wetland,SP07,79,0,DOWO,a,1,,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,CARW,a,1,1,2
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,CACH,a,,1,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,DOWO,a,1,,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,RBWO,v,1,,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,RBWO,a,,1,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,NOPA,a,,1,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,TUTI,a,,2,2
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,WEVI,a,,1,1
6/11/2021,2021,6:45,stono,6,wetland,SP07,77,0,GCFL,a,1,,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,CACH,a,1,,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,CACH,v,1,,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,NOPA,a,,1,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,CARW,a,1,1,2
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,TUTI,a,1,1,2
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,WEVI,a,,1,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,RBWO,v,1,,1
5/10/2021,2021,8:38,stono,6,wetland,SP07,73,2.4,BLJA,v,2,,2
5/10/2021,2021,8:50,stono,6,upland,UP06,73,0,NOMO,a,,1,1
5/10/2021,2021,8:50,stono,6,upland,UP06,73,0,CACH,a,1,,1
5/10/2021,2021,8:50,stono,6,upland,UP06,73,0,TUTI,a,1,,1
5/10/2021,2021,8:50,stono,6,upland,UP06,73,0,CARW,a,1,,1
5/10/2021,2021,8:50,stono,6,upland,UP06,73,0,EATO,a,1,,1
6/11/2021,2021,6:57,stono,6,upland,UP06,77,0,EATO,a,,1,1
6/11/2021,2021,6:57,stono,6,upland,UP06,77,0,CARW,a,,1,1
