date,time_start,time_end,property,type,block,wetland_id,bird_sr,shan_sr_1,shan_sr_2,agriculture,ditched,rain_24,inch_24,wetland_type,hydrology,last_dry,canopy_cover,canopy_dom,midstory_cover,midstory_dom,debris_cover,debris_dom,groundcover,herb_layer,dom_herb_group,water_cover,current_water_max,high_water_mark,burn_scars,duff,duff_depth,hydro_dist,wetland_disturbance,natural_community,canopy_dom_upland,canopy_cover_upland,midstory_cover_upland,midstory_dom_upland,herb_cover_upland,herb_dom_upland,stumps,burn_scars_upland,duff,duff_depth_upland,time_last_fire
5/2/2022,11:40,,halidon,wetland,4,HH01,,,1.735126,,,,,Depression Marsh,Ephem,May 2022,0-25,none,25-50,Wax Myrtle,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,Mesic Flatwood,Longleaf,0-25,0-25,Sweetgum,75-100,"Little Blue Stem, Solidago",T,T,,,
9/10/2021,10:41,10:55,halidon,wetland,4,HH02,9,2.041345,2.293413,T,T,T,4,Dome Swamp,Ephem,Spring 2021,75-100,Black Gum,0-25,Sweetgum,0-25,,75-100,Whole basin,"Grasses, Sedges",0-25,8,24,F,F,,Ditch,None,Mesic Flatwood,Hardwood mix,0-25,0-25,Loblolly and Sweetgum,75-100,"Switchcane, chasmanthiom",T,T,F,,
9/10/2021,11:12,11:22,halidon,wetland,4,HH04,8,1.880985,2.240322,T,T,T,4,Dome Swamp,Ephem,Spring 2021,50-75,Black Gum,0-25,Wax Myrtle,0-25,,0-25,Edges,Sedges,75-100,18,24,F,,,Ditch,None,Mesic Flatwood,Longleaf,0-25,0,None,75-100,Little Blue Stem,T,T,F,,2020
9/15/2022,,,halidon,wetland,,HH05,,,2.246214,T,T,F,,Depression Marsh,Ephem,June 2022,25-50,Longleaf,0-25,Wax Myrtle,0-25,,75-100,Whole Basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/10/2021,11:30,11:50,halidon,wetland,4,HH07,12,2.399204,2.053095,T,T,T,4,Dome Swamp,Ephem,Spring 2021,75-100,"Black Gum, Loblolly, Laurel Oak",0-25,None,25-50,,25-50,Patchy,Sedges,75-100,8,24,T,T,1,,Bedding,Mesic Flatwood,Longleaf,50-75,0,None,75-100,"Clethia, Ilex glatera",F,T,F,,
9/10/2021,10:42,11:00,halidon,wetland,1,HH13,10,2.205155,2.295812,T,T,T,4,Dome Swamp,Ephem,Summer 2021,75-100,Black Gum,0-25,Sweetgum,0-25,,50-75,Most of basin,Sedges,75-100,24,24,T,T,0.5,Ditch,,Mesic Flatwood,Slash,25-50,25-50,Sweetgum,75-100,Mix,T,T,F,,
9/10/2021,12:26,12:42,halidon,wetland,2,HH14,12,2.400563,2.385429,T,T,T,4,Dome Swamp,Ephem,June 2021,50-75,Black Gum,0-25,Persimmon,0-25,,25-50,Patchy,Sedges,75-100,8,24,F,F,,Ditch,,Mesic Flatwood,Loblolly,25-50,0-25,None,75-100,Mix,T,T,F,,
9/10/2021,1:00,1:20,halidon,wetland,2,HH17,8,1.634164,1.970181,T,T,T,4,Dome Swamp,Ephem,June 2021,75-100,Black Gum,0-25,None,0-25,,75-100,Whole basin,Sedges,,,,T,F,,Ditch,,Mesic Flatwood,Loblolly,50-75,0-25,None,75-100,Mix,T,T,F,,
9/10/2021,2:05,,halidon,wetland,2,HH22,8,1.945317,2.472484,T,T,T,4,Dome Swamp,Ephem,Summer 2021,75-100,Black Gum,25-50,"Sweetgum, Black Gum",0-25,,50-75,Most of basin,Sedges,50-75,,,F,F,,Ditch,,Mesic Flatwood,Loblolly,,25-50,Sweetgum,75-100,Mix,T,,,,
9/10/2021,2:10,2:28,halidon,wetland,,HH24,,,,T,T,T,4,Depression Marsh,Ephem,April/June 2021,0-25,Black Gum,0-25,None,0-25,,50-75,Most of basin,"Grasses, Sedges",75-100,36,36,T,F,,Ditch,,Mesic Flatwood,Loblolly,25-50,0-25,Sweetgum and Gallberry,75-100,Mix,T,T,F,,
9/15/2022,,,halidon,wetland,,HH30,,,1.898927,,,,,Depression Marsh,Ephem,June 2022,0-25,Loblolly,0-25,None,0-25,,75-100,Whole basin,Grasses,75-100,,,,,,,,,,,,,,,,,,,
